date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
25/12/2024,8,10,21,23,36,38,40,47,49,53,55,60,60,62,64,65,72,73,78,82,85,86,89,89,93,95,99
24/12/2024,10,11,15,24,30,36,38,39,40,44,53,54,55,56,66,66,71,74,74,88,90,91,92,95,95,95,98
23/12/2024,8,13,19,19,20,24,27,29,36,42,46,49,50,50,52,53,55,57,60,61,71,76,83,90,94,95,97
22/12/2024,1,4,5,6,10,13,17,18,20,23,31,34,36,44,45,45,49,54,60,62,63,63,64,68,89,97,98
21/12/2024,1,4,4,11,15,16,19,29,35,43,46,50,51,52,55,60,66,67,72,73,76,76,84,90,92,96,99
20/12/2024,1,1,10,12,17,20,24,27,34,43,43,44,47,64,68,69,73,74,84,84,89,90,92,97,97,98,99
19/12/2024,2,6,9,16,17,18,19,21,31,32,36,39,43,47,51,51,55,56,57,58,63,65,67,69,74,91,92
18/12/2024,1,2,5,6,8,9,10,12,15,21,28,32,36,41,47,47,48,61,62,70,75,79,82,82,89,89,93
17/12/2024,6,10,13,14,15,19,20,23,23,36,36,37,42,45,56,60,62,66,73,73,74,85,87,95,96,96,97
16/12/2024,0,6,7,12,16,22,22,25,26,29,29,31,35,46,50,51,64,68,75,76,76,77,78,79,89,89,93
15/12/2024,0,1,7,10,15,16,18,19,29,40,40,42,46,46,49,50,59,66,70,75,78,84,87,91,91,95,96
14/12/2024,0,3,5,6,9,18,26,28,28,29,36,37,38,46,49,61,65,69,74,78,82,86,91,91,91,93,96
13/12/2024,11,17,19,19,22,24,28,40,45,48,49,51,51,52,55,59,68,69,70,75,75,75,75,83,85,87,87
12/12/2024,6,10,12,12,12,16,17,20,20,22,24,29,32,37,42,44,44,50,53,56,61,79,83,84,90,94,98
11/12/2024,2,6,7,7,14,17,20,20,23,23,25,31,36,36,49,51,53,53,58,62,66,76,76,78,89,95,99
10/12/2024,2,3,8,14,16,17,20,20,22,30,35,39,45,45,47,52,59,60,62,64,67,86,90,92,93,98,98
09/12/2024,3,3,9,16,23,25,26,37,38,44,48,49,51,52,53,57,60,63,66,67,67,69,81,87,87,94,96
08/12/2024,3,7,9,20,25,26,31,33,37,42,43,45,47,56,56,58,64,70,70,72,75,85,90,92,97,97,99
07/12/2024,5,10,13,15,15,19,22,39,41,41,49,50,52,52,55,61,69,74,76,76,77,81,83,85,88,91,97
06/12/2024,4,5,21,24,31,34,36,46,48,50,50,51,52,58,59,59,67,68,73,77,83,84,87,94,95,98,99
05/12/2024,0,6,8,12,14,14,19,22,29,31,34,36,37,43,43,49,49,53,56,64,69,69,71,71,88,95,97
04/12/2024,0,0,4,6,20,28,31,32,34,35,38,40,50,66,67,70,75,76,77,78,79,79,79,84,86,86,95
03/12/2024,0,1,9,15,20,21,26,28,30,34,40,46,51,57,63,70,70,75,84,85,86,93,97,98,98,99,99
02/12/2024,4,5,6,13,23,30,43,47,60,60,60,61,61,62,62,67,67,70,72,75,79,84,89,90,93,95,97
01/12/2024,2,4,9,11,12,21,23,25,27,28,31,35,39,39,43,44,55,59,60,61,72,73,78,82,94,94,95
30/11/2024,4,4,5,7,11,12,16,19,23,23,26,27,44,46,53,55,56,57,71,76,78,81,84,85,90,93,96
